"title","year","age","im_db","rotten_tomatoes","runtime","streaming","main_language"
"Gideon's Army",2013,"7+",7.7,10,96,"Amazon","English"
"Jin-Roh: The Wolf Brigade",1999,"18+",7.4,5.5,102,"Amazon","Foreign"
"Lebanon, Pa.",2011,"13+",6.3,5,100,"Amazon","Foreign"
"Hard Eight",1996,"18+",7.2,8.4,102,"Amazon","English"
"Tell Your Children",1936,"7+",3.8,3.9,66,"Amazon","English"
"Keys to Tulsa",1997,"18+",5.1,1,113,"Amazon","English"
"The Loss of a Teardrop Diamond",2008,"13+",5.8,2.7,102,"Amazon","English"
"The Incredibles",2004,"7+",8,9.7,115,"Disney+","English"
"Eighth Grade",2018,"18+",7.4,9.9,93,"Amazon","English"
"Phone Booth",2002,"18+",7,7.2,81,"Hulu","English"
"Explicit Ills",2008,"18+",5.7,5.4,87,"Amazon","English"
"The Alibi",2006,"18+",6.4,5.7,90,"Amazon","English"
"The 5th Quarter",2011,"13+",5.6,5.7,101,"Amazon","English"
"Wendy and Lucy",2008,"18+",7.1,8.5,80,"Amazon","English"
"A Good Marriage",2014,"18+",5.2,3.2,102,"Amazon","English"
"Piglet's Big Movie",2003,"all",6.1,7,75,"Disney+","English"
"Ghost Team",2016,"13+",4.6,1.1,83,"Hulu","English"
"The Princess and the Frog",2009,"all",7.1,8.5,97,"Multiple","English"
"The Core",2003,"13+",5.5,4,135,"Multiple","English"
"Horton Hears a Who!",2008,"all",6.8,7.9,86,"Hulu","English"
"Toni Morrison: The Pieces I Am",2019,"13+",7.1,9.7,120,"Hulu","English"
"Atlantis: The Lost Empire",2001,"7+",6.9,4.9,95,"Disney+","English"
"Radio Free Albemuth",2010,"18+",5.6,3.6,111,"Amazon","English"
"The Flowers of War",2011,"18+",7.6,4.1,146,"Amazon","Foreign"
"Meet the Deedles",1998,"7+",4.1,0.7,93,"Disney+","English"
"Captain America: The Winter Soldier",2014,"13+",7.7,9,136,"Disney+","English"
"American Anarchist",2016,"18+",5.8,6.7,80,"Netflix","English"
"Three and Out",2008,"18+",6.2,1.7,106,"Amazon","English"
"Drillbit Taylor",2008,"13+",5.7,2.6,110,"Netflix","English"
"Vampire's Kiss",1988,"18+",6,6.1,103,"Amazon","English"
"I'm in Love with a Church Girl",2013,"7+",4.4,0.6,118,"Netflix","English"
"Tenderness",2009,"18+",5.5,4,101,"Amazon","English"
"The Jimmy Show",2002,"18+",5.2,4,96,"Amazon","English"
"Tony n' Tina's Wedding",2004,"18+",3.9,2.5,110,"Amazon","English"
"Raising Cain",1992,"18+",6.1,5.7,92,"Netflix","English"
"My Name Is Nobody",1973,"7+",7.5,10,116,"Amazon","Foreign"
"The 33",2015,"13+",6.9,4.8,127,"Hulu","English"
"Beyond the Mat",1999,"18+",7.6,8.2,102,"Netflix","English"
"The Girl with the Dragon Tattoo",2009,"18+",7.8,8.5,158,"Amazon","English"
"Brother Bear",2003,"all",6.8,3.7,85,"Disney+","English"
"Master Z: Ip Man Legacy",2018,"13+",6.5,8.9,107,"Netflix","Foreign"
"Charlotte's Web",1973,"all",6.9,7.6,97,"Multiple","English"
"Not Suitable For Children",2012,"18+",5.8,8.8,97,"Amazon","English"
"Guardians of the Galaxy",2014,"13+",8,9.1,121,"Disney+","English"
"Free Enterprise",1998,"18+",6.8,8.3,113,"Amazon","English"
"No Strings Attached",2011,"18+",6.2,4.9,108,"Multiple","English"
"The Journey",2017,"13+",6.6,6.9,94,"Amazon","English"
"A Girl Like Her",2015,"13+",7,6.5,91,"Amazon","English"
"Papillon",2017,"18+",7.2,5.2,133,"Amazon","English"
"Coastlines",2002,"18+",5.8,4.8,110,"Hulu","English"
"Humanoids from the Deep",1980,"18+",5.7,5.6,80,"Amazon","English"
"To Catch a Thief",1955,"7+",7.4,9.6,106,"Amazon","English"
"Godzilla",1998,"13+",5.4,1.6,123,"Netflix","English"
"The Chumscrubber",2005,"18+",6.9,3.7,108,"Hulu","English"
"Khumba",2013,"all",5.7,4.4,85,"Amazon","English"
"Blueberry",2004,"18+",5.2,2.2,124,"Amazon","English"
"The Summit",2012,"18+",6.9,6.4,95,"Amazon","English"
"Becoming Cary Grant",2017,"7+",6.6,8.6,85,"Amazon","English"
"Bambi II",2006,"all",6.1,5,75,"Disney+","English"
"American Renegades",2017,"13+",5.4,1.1,106,"Amazon","English"
"The Discoverers",2014,"16+",5.7,8.8,104,"Amazon","English"
